linux命令,别名或多个别名,注释
hwclock --set,Set-Date-Hard,
,,
iconv,Edit-FileEncoding,转换文本编码
,,
id,Get-User-UidGid,
,,
ifdown,Disable-NetInterFace,禁用网络接口
ifup,Enable-NetInterFace,启用网络接口
,,
iftop,Get-Net-BandwidthUsage,查看网络带宽使用情况
,,
kill,Kill-Process,杀死执行中的程序
killall;pkill,Kill-Process-SameName,杀死所有同名进程
,,
last,Get-LoginHistory,获得用户登录记录
lastb,Get-LoginBadHistory,获得用户登录失败记录
lastlog,Get-UserLastLogin,获得所有用户最后登录记录
,,
cat,Concatenate,
cat,Cat,
nl,Cat-WithNumberLines,
less,Get-LongFile,
,,
# 链接,,
ln --symbolic -v,Make-LinkFile-Symbolic,
ln -v,Make-LinkFile-Hard,
,,
locate,Find-Files,在索引中搜索文件
,,
lscpu,Get-CPUInfo,获得CPU信息
,,
lsmod,Get-Kernel-InstalledModule,查看系统安装的模块
insmod;modprobe,Enable-Kernel-modules,挂载一个模块
rmmod -v;modprobe -r,Disable-Kernel-modules,移除已经加载的模块
,,
lsof,Get-Files-Opend,查看所有打开的文件
lsof -p,Get-Files-Opend-ByPid,查看进程打开的文件
lsof +D,Get-Files-Opend-ByDir,递归列出目录下被打开的文件
,,
lspci,Get-PciDevices,查看PCI总线信息和设备信息
lsusb,Get-UsbDevices,显示本机的USB设备列表，以及设备信息
,,
mkdir,Make-Directories,
,,
nisdomainname,Get-NISName,
,,
parted,Edit-Partition,
,,
pgrep,Find-Process-Byname,
,,
# 进程查看,,
ps,Get-Process-Professional,
ps a u f,Get-Process,
ps a -A -f f,Get-Process-All,
ps -f f -U,Get-Process-ByUser,
ps -f -H -t,Get-Process-ByTTY,
,,
pstree,Get-Process-Tree,
,,
pwd,Get-Location,获得当前位置信息
,,
readelf -h,Get-ELF-Head,
readelf -a,Get-ELF-All,
,,
resize -s,Set-Terminal-Size,设置控制台大小
resize,Get-Terminal-Size,
,,
whereis,Get-CommandLocation,查看命令位置
,,
runlevel,Get-Runlevel,
